Sample_number	N	Tick_Genus	Tick_species	Gender	Life_stage	Parasite	Bloodmeal	Animal host1	Animal host2	latitude	longtitude	colletion_date	Ecological_enviroment1	Ecological_enviroment2	Multiple_50km	Multiple_100km	meanpres	meanwind	meantemp	meanhum1	ssd	meanmaxtem	maxprec	meanmintem	meanprec	Zone_4	Zone_5	Clade	Clade_filtered	Province	Shannon_OTU95	Simpson_OTU95	OTU_new_Shannon_verfam2	OTU_new_Simpson_verfam2	Total_p1	Total_p2	Total_p4	Total_normalized	Total_vefam_normalized	Virus_rmEVE5_normalized	Excluded_lib	OTU_new_OV_verfam1	OTU_new_Chao1_verfam1	OTU_new_Shannon_verfam1	OTU_new_Simpson_verfam1	OTU_new_OV_verfam3	OTU_new_Chao1_verfam3	OTU_new_Shannon_verfam3	OTU_new_Simpson_verfam3	100km	10km	110km	120km	130km	140km	150km	160km	170km	180km	190km	200km	20km	30km	40km	50km	60km	70km	80km	90km	Jingmen_tick_virus_p5	Alongshan_virus_p5	Tamdy_virus_p5	Beiji_nairovirus_p5	Nairobi sheep_disease_virus_p5	Yezo_virus_p5	Thogoto_thogotovirus_p5	Songling_virus_p5	Severe_fever_with_thrombocytopenia_syndrome_virus_p5	Tacheng_tick_virus_2_p5	Eyach_virus_p5	Total_p5
1275	20	4	15	2	1	1	1	4	4	109.5684586	28.42586613	07/04/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	38	31	HL1	HLf1	Hunan	0.74601393	0.196534283	3.40544253	0.858264727	592.0546754	590.6196831	0.151520933	17260.11489	36.78393468	487.015017	N	47	47	3.780446152	0.885186429	47	47	3.780446152	0.885186429	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0.026738988	0	0	0	0	0	0	0	0	0	0	0.026738988
1276	20	4	15	2	1	1	1	4	4	109.5684586	28.42586613	07/04/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	39	31	HL1	HLf1	Hunan	0.572448321	0.156012707	3.196574202	0.823512756	648.2460215	645.2466586	0	19103.79665	11.42199236	3.79279899	N	45	45	3.618263431	0.859544874	45	45	3.618263431	0.859544874	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1277	20	4	15	2	1	1	1	4	4	109.5684586	28.42586613	07/04/2019	3	2	Single	Multiple	975.3729858	1.18561995	16.74469948	81.64160156	91.6855011	34.38740158	144.3670044	1.553650022	125.0139999	31	25	HL1	HLf1	Hunan	0.78587254	0.215875124	3.141629017	0.825557573	800.9517571	799.2961993	0	23086.13087	9.66632152	1006.596962	N	45	45	3.6261086	0.870895832	45	45	3.6261086	0.870895832	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1278	21	4	15	2	1	2	1	2	2	109.833611	28.213333	07/02/2019	3	2	Single	Multiple	987.5930176	1.249459982	17.25099945	81.85209656	95.90769958	34.65330124	148.602005	1.903929949	125.3059998	31	24	HL1	HLf1	Hunan	0.700954481	0.181591309	3.139835309	0.816335178	762.6950885	759.7488131	0	19742.24988	10.16562565	254.004059	N	40	40	3.462468225	0.842008191	40	40	3.462468225	0.842008191	Multiple	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Multiple	0	0	0	0	0	0	0	0	0	0	0	0
1279	13	4	15	1	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	24	HL1	HLf1	Hunan	0.909783274	0.246072047	3.224732303	0.827782334	427.484666	426.9856955	0.0332647	8929.986465	19.19373218	0.620941076	N	48	48	3.479563159	0.844115445	48	48	3.479563159	0.844115445	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1280	13	4	15	1	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	25	HL1	HLf1	Hunan	0.452926397	0.124657663	3.63687476	0.884623753	247.6152183	245.3317842	0	23728.66109	9.57905356	0.549540165	N	46	46	3.999588526	0.907100042	46	46	3.999588526	0.907100042	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1281	13	4	15	1	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	24	HL1	HLf1	Hunan	0.601806206	0.164680235	3.757327239	0.886562431	321.9412836	319.4602714	0	15799.58226	12.10562877	1.137843552	N	48	48	4.047908438	0.902856801	48	48	4.047908438	0.902856801	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1282	20	4	15	2	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	24	HL1	HLf1	Hunan	1.207362695	0.368211296	3.167022274	0.826122044	225.1318185	224.3000013	0	18074.89606	8.578740947	1991.761162	N	34	34	3.474471134	0.848731706	34	34	3.474471134	0.848731706	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1283	20	4	15	2	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	24	HL1	HLf1	Hunan	0.627121057	0.172056868	3.005302738	0.7895124	306.0111921	303.6949167	0.016427485	12708.27782	9.002261827	2.00415318	N	36	36	3.174088567	0.801633947	36	36	3.174088567	0.801633947	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
1284	21	4	15	2	1	2	1	2	2	109.37	28.625556	07/03/2019	3	2	Single	Single	960.1500244	1.18561995	16.1515007	81.47190094	89.50869751	34.11220169	141.0619965	1.170179963	122.0999985	31	24	HL1	HLf1	Hunan	1.180765533	0.325450618	1.635324934	0.454478777	254.8956519	254.2579894	0.019926956	8011.443174	321.3520488	0.398539111	N	41	41	1.789697338	0.476302014	41	41	1.789697338	0.476302014	Single	Single	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Multiple	Single	Single	Single	Single	Single	Single	Single	Single	0	0	0	0	0	0	0	0	0	0	0	0
